Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.')",2120.7153850709706,8705.662608741553,163.6849791391942,589.4575760236368,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2155.0589864467506,8683.835687320065,326.0391804180772,1086.3335934843822,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2534.69665026984,8168.935480465024,259.89127211584275,1000.1603360868261,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'pH.Pre.chlorination')",2288.1494799559687,8829.720360841573,171.03956364709558,1014.2991693932695,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",2971.5872666598666,9025.361984652753,227.47015914099123,1185.96181503869,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",2994.542736657977,8938.813932759673,559.6739286602862,739.9109045377822,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3359.292469773962,8789.982946738211,135.8671247146479,844.6326435177097,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2900.523768269607,9417.294551490062,462.68834849051956,609.407219810752,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",3099.3551447729665,8957.164284306942,333.2863599092623,1599.5586358670955,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2938.353754712686,8634.162859682714,220.0761948216107,1151.688458368838,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",3400.4450798638654,9142.972134582214,473.7394604343741,1554.840962781699,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3282.7405975428655,8891.722859361067,239.78451569232266,758.9231525739018,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2862.895214385927,9166.30897374068,145.7576339708272,867.5714197040197,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3072.1459410330676,8979.701061506163,117.34288998611979,565.0791681510228,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.')",2077.5166396294903,8848.212553667609,356.50380329691984,725.0044428772437,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.')",2084.1166889196115,8812.337958408365,140.13127077202844,276.0707585864142,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2076.044908084218,8657.751111313122,301.4056859487542,695.9924399894768,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2079.6107909620578,7921.864336675419,211.20581625515246,1019.2405622231056,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'pH.Pre.chlorination')",2087.1433322335406,8701.100276433028,389.9997073128174,1104.8759989414607,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",2909.4008522187646,8838.290600333996,285.9299240459695,1220.510037762084,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",2930.7961245652077,9286.236369647382,199.64881274975295,709.7098489603552,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3099.0266139479886,8857.983059773098,212.29607782030564,939.4750973751466,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2926.1261622996963,9330.781311805542,232.66185606441428,1023.9372113336822,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2756.297382196585,8992.526598627632,381.5958201193897,1249.9645244281303,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2710.166172416442,8378.505112839335,210.80616773402298,824.2219037400687,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",2819.8406068643867,8763.72019195012,185.20599601327586,1269.8686230141636,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2778.9861089108767,8764.39176681219,95.21336970159724,1071.3837725488413,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2908.908376045144,9039.28390898413,319.1549198080927,996.1376228821616,4
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3148.9484860151783,8582.075670591224,297.5441743470474,699.0745748437228,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",2207.561218248221,8730.454088837314,270.6892592747403,482.70288191268355,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",2211.658300189269,8774.064153838797,235.834193095753,711.1924230913163,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2436.271012934376,8386.620071656973,256.841070465792,1127.3459591218077,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2211.698494348716,8929.859671693051,383.0968726446742,525.4155305936282,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2312.2069445497023,8608.917026997613,203.66145206865852,334.8058413157816,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2136.8279502470605,7581.0652760559005,132.55680410608517,443.23701402962513,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",2083.1142386744837,8614.232307109676,349.11722358605255,630.4992202190838,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2487.760804860924,8225.328100298406,266.25796460640754,877.2309589676373,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2393.882872479024,8849.900576760188,225.27117406355555,586.4940976029791,4
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2398.7111614536307,7787.366825515582,297.8799663730377,706.2506489618504,4
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2962.062355163819,8782.750377957906,290.13490064434893,1061.940456005209,4
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2737.393117668228,8621.008638370216,269.622417331951,611.8905158964395,4
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",2936.9013400879876,9065.978189696736,163.95430840766386,1073.0633731957375,4
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3172.519531679528,8907.129194718082,320.9286221603042,886.8449013875083,4
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2875.8157724911493,9059.23394834105,369.2030170528824,827.744822764274,4
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3145.6753210372485,8969.529267882612,333.9572614040271,590.9382052069989,4
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3061.052808600859,8395.297830691114,274.29199980993013,892.5699933672425,4
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2715.6519473965373,8774.641119509073,280.05430002243145,1663.7466659496317,4
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2927.8113375013577,8678.590013959472,336.29504383438785,904.2431177030389,4
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3052.8575847312823,9115.846946767706,413.4814241657618,825.7782879890574,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2116.371263672613,8590.990389923436,262.0491959211669,783.0896691568483,5
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",2780.9896348781413,8772.160610189429,295.50933620386763,654.4030100788968,5
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",2914.212858554092,8433.347283714811,299.9020246244936,709.9437739577369,5
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",2652.2461144505673,8641.80118656595,184.77036671040094,745.8040044802376,5
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",2806.274643243607,8703.958904258552,365.0328173554132,882.1804151720661,5
