y_test_CAS,y_test_CAS_dropped,y_pred_final_CAS,y_pred_final_CAS_dropped,y_pred_oob_imputed_CAS,y_pred_oob_CAS,y_pred_naive_CAS,y_pred_naive_orig_CAS
10.0,10.0,1.2489812,-18.089043,-19.741625,2.3990912,112328.60966183574,112871.10194174758
5.0,5.0,10.31099,-35.18829,131.68037,24.52724,112328.60966183574,112871.10194174758
4.0,4.0,-89.89612,193.45401,4139.5137,-4.233428,112328.60966183574,112871.10194174758
10.0,10.0,-83.952484,13.544205,4189.248,10.770721,112328.60966183574,112871.10194174758
1.0,1.0,7933.6836,-33.12601,4.8097715,-169.06755,112328.60966183574,112871.10194174758
10.0,10.0,-4.5455174,2443.761,2507.2634,2158.5342,112328.60966183574,112871.10194174758
2.0,2.0,5325.554,0.630751,5385.637,51.71962,112328.60966183574,112871.10194174758
2.0,2.0,0.78853744,-287.67285,6895.992,130.46338,112328.60966183574,112871.10194174758
435.0,435.0,-134.84451,-1.7552965,404.62662,10.770721,112328.60966183574,112871.10194174758
2.0,2.0,116.323586,61.207752,27.677578,12.292477,112328.60966183574,112871.10194174758
110000.0,110000.0,-225.37384,386.0898,145.90372,3392.581,112328.60966183574,112871.10194174758
20.0,20.0,21.04009,8.250143,-475.56284,44.910492,112328.60966183574,112871.10194174758
10.0,10.0,126.56566,3632.4644,2377.3242,3354.0542,112328.60966183574,112871.10194174758
10.0,10.0,5.0163455,13.6618595,4664.418,65.17833,112328.60966183574,112871.10194174758
10.0,10.0,76.62961,112.53881,8721.088,946.2205,112328.60966183574,112871.10194174758
10.0,10.0,-3.9125693,-109.11682,241.09372,221.18198,112328.60966183574,112871.10194174758
110.0,110.0,2405.95,-2483.525,302.5397,-340.605,112328.60966183574,112871.10194174758
20.0,20.0,-16.820812,2432.2068,2478.7246,2270.725,112328.60966183574,112871.10194174758
10.0,10.0,-1.0319976,21.865696,33.01681,44.910492,112328.60966183574,112871.10194174758
10.0,10.0,-5.42302,-162.65398,19.262045,69.229126,112328.60966183574,112871.10194174758
